User,Average Similarity
allyeahh,0.8870614
f4****,0.88689667
바넷,0.886888
김병민67,0.88686717
한민재,0.8868162
다다빙빙빙,0.88659865
맛짱선배,0.8864501
서터를누른다,0.8864418
돈까2717,0.8864148
Lanslot,0.8864006
스피크아웃,0.8863182
hoo****,0.8862645
효니횬95,0.8862453
냠냠쩝쩝우적우적,0.8862218
뀨1612,0.88599837
interpc83,0.88588375
rud1278,0.8857644
okm9999,0.8856331
akj****,0.88560855
현2650,0.88549036
SY0407,0.88542575
세이브더칠리소스,0.8854091
ywm88,0.8851902
꼬북이544,0.8851495
zzonnnnnn,0.8851206
일상기로기,0.885067
김김시민,0.8849533
복돌이 누나05,0.8849068
써니993,0.8848315
고온95,0.8847745
어랍show,0.88473266
jake70,0.88468844
tlarud00,0.8844983
jhe****,0.88449204
s 아뜰리에81,0.8843589
진짜88,0.8843132
뭉이날자,0.8841606
햄토리버치,0.88412493
euna81,0.88411456
티니핑1,0.8840379
송이2866,0.8839806
bookes1987,0.88396734
긍정62,0.88393986
핼이,0.88393927
Dianeh,0.88390887
pss****,0.8838648
비밀의색30,0.8836837
줄리398,0.88366026
꿀꿀그램,0.8836353
이종현14,0.8835244
망글동이,0.88348675
으하하하8435,0.8834604
lil****,0.88338053
장진희34,0.88335925
Nmnm001100,0.88332796
쩡이4745,0.8832447
1866,0.8831803
럽리유아,0.88308275
감사4241,0.883075
콩이수81,0.88285017
gkeofl8077,0.88283694
화니456,0.88269585
뽀뽀양,0.88231856
아얌45,0.88227326
오늘은 돈카츠,0.8822533
삼삼07010801,0.8821177
욤쿵,0.88206965
에일리어,0.8820557
꼬꼬5135,0.882
도담도담91,0.88198614
죠오지9,0.881978
dlgpfus772,0.8819312
진진xi,0.8817176
먹순식,0.88163996
맛집만다니는언니,0.8816161
온경잉,0.8815853
마이썬4798,0.8815351
kh307,0.8812921
배고팡0ㅅ0,0.8812755
dal****,0.88119483
car****,0.8811941
Coraldiamond,0.88118976
LENAo4,0.8811777
FANCYLOG,0.88116795
몽몽푸드,0.8810858
혜릴,0.881072
발발이35,0.8810297
춘집사,0.88095087
ggㅎㅎ19,0.8809112
브미롱,0.8807877
dlr****,0.8807141
해바라기3099,0.88060284
흠542,0.88056546
융9349,0.88053846
떡이24,0.8805283
Matds,0.8804993
yud****,0.8803038
Nobrandchicken,0.88028413
라이꾸,0.88028413
콩닥콩닥2484,0.88009584
야미무무,0.8799662
kyhee18,0.87993526
의영1279,0.8797381
이나라78,0.87967676
jeilove,0.8796609
맛탱뤼,0.87962645
din****,0.8795855
kyunge36,0.87952125
하늘9523,0.87928814
몽뽀아,0.87925494
닝닝98,0.8789774
o_o****,0.878947
reiraa,0.878853
룰룰루루햠,0.87873334
달고나8569,0.87872946
환야15,0.87869644
qnddj1,0.8786842
감갬,0.8786689
쪼이13,0.87854344
빈니92,0.87850887
dot****,0.8784067
사악천사77,0.8783769
솔루션13,0.8783614
뎅이15,0.8783355
툴2,0.87825954
두산원년팬94,0.87815434
유유우우림,0.8780623
화양연화1234,0.8780568
호두까기17,0.87800086
KKKKKKK66,0.8779728
루렐리아,0.87775236
ika****,0.87768674
songje325,0.87760246
foodhwan,0.87758106
알럽에이브릴라빈,0.87740594
뭉치짱아,0.8772509
녀이,0.87721294
Jimmy02,0.87713754
dbd****,0.876936
영중 짱,0.87691057
뀨르귤,0.87688386
럽유98,0.87685806
츄르기,0.87681115
수박이95,0.87677705
뚜시88,0.8767591
미운천사14,0.8766956
goe****,0.876653
윤준희,0.87665
clara0306,0.87662464
검은잠비,0.87654513
dor****,0.87652916
찌니360,0.8763797
h_****,0.87634987
eun4062,0.87634134
가을하늘2436,0.87633246
뇽뇽냥5,0.87632746
팥듬뿍호빵,0.8763274
swa****,0.8763169
개츠비21,0.87626064
샤랄라 쏘,0.87625486
120985819,0.876086
솔직먹방,0.876082
od****,0.87606555
쭈혀니0029,0.87598693
ahaha23,0.87596434
hth****,0.87589675
별12,0.87589175
yj****,0.8758777
callahh82,0.8758599
윤수아빠56,0.87583846
S라인69,0.8757869
tec****,0.8757761
유댕댕의 하루,0.87571806
kss6307,0.8756947
rka****,0.87566406
안녕9,0.87552
먼지마밍,0.87549335
